,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
22406,c-12,c-1,c-4,1433,UA,DEN,LAX,862,N
22407,c-5,c-31,c-2,811,DL,MCI,ATL,692,N
22408,c-3,c-13,c-7,2100,MQ,DFW,LIT,304,N
22409,c-1,c-9,c-1,1910,WN,LAX,SMF,373,N
22410,c-1,c-8,c-7,1905,WN,RNO,LAS,345,N
22411,c-12,c-31,c-6,752,CO,SEA,EWR,2401,N
22412,c-5,c-16,c-1,622,MQ,CHA,ORD,501,N
22413,c-10,c-12,c-4,1249,MQ,BDL,RDU,532,N
22414,c-7,c-11,c-1,1956,XE,IAH,HSV,595,Y
22415,c-8,c-30,c-2,1412,WN,LAS,BUR,223,N
22416,c-10,c-31,c-2,1421,OO,CIC,SFO,153,N
22417,c-8,c-22,c-2,920,AA,SLC,DFW,988,N
22418,c-10,c-1,c-6,1925,WN,MDW,STL,251,N
22419,c-6,c-26,c-7,846,MQ,DFW,LBB,282,N
22420,c-8,c-2,c-3,1009,WN,BNA,MSY,471,N
22421,c-8,c-5,c-5,1014,NW,MSP,RST,76,N
22422,c-5,c-29,c-1,1127,AS,SIT,KTN,183,N
22423,c-3,c-31,c-5,720,WN,CRP,HOU,187,N
22424,c-3,c-15,c-3,2303,CO,IAH,SAT,191,N
22425,c-10,c-5,c-3,748,AA,LAS,MIA,2175,N
22426,c-5,c-16,c-2,1553,MQ,DFW,HOU,247,N
22427,c-5,c-13,c-5,1133,CO,SNA,IAH,1347,N
22428,c-8,c-22,c-2,1311,CO,IAH,DFW,224,N
22429,c-8,c-17,c-3,1246,OO,SLC,GJT,217,N
22430,c-3,c-14,c-2,910,WN,LAX,SJC,308,N
22431,c-9,c-8,c-5,1705,XE,SDF,EWR,642,Y
22432,c-8,c-28,c-7,830,WN,MCI,ABQ,718,N
22433,c-11,c-15,c-2,1447,F9,DEN,BNA,1013,N
22434,c-6,c-5,c-7,1820,AA,CMH,DFW,927,Y
22435,c-2,c-13,c-1,943,NW,MEM,JAN,189,N
22436,c-10,c-17,c-2,858,DL,DCA,ATL,547,N
22437,c-5,c-15,c-1,1145,AA,DFW,LAS,1055,N
22438,c-8,c-12,c-6,1212,AA,SFO,DFW,1464,N
22439,c-6,c-18,c-7,1359,UA,LAX,ORD,1745,N
22440,c-6,c-17,c-5,554,MQ,PIA,ORD,130,N
22441,c-1,c-11,c-3,1055,MQ,CLT,ORD,599,Y
22442,c-7,c-31,c-1,1356,WN,PHX,SJC,621,N
22443,c-12,c-7,c-3,1935,WN,PHL,PIT,267,N
22444,c-4,c-12,c-3,628,AA,RDU,MIA,700,N
22445,c-12,c-22,c-5,643,WN,OAK,MDW,1844,Y
22446,c-9,c-4,c-7,920,WN,ISP,PBI,1052,N
22447,c-10,c-20,c-5,2244,B6,JFK,LAS,2248,Y
22448,c-2,c-27,c-1,2101,DL,DCA,ATL,547,N
22449,c-11,c-29,c-2,2159,DL,ATL,TPA,406,N
22450,c-4,c-11,c-2,1943,WN,MCI,ABQ,718,N
22451,c-8,c-12,c-5,1600,EV,ATL,XNA,589,N
22452,c-4,c-5,c-3,1749,AA,ATL,DFW,732,Y
22453,c-10,c-25,c-3,2136,FL,ATL,CLT,227,Y
22454,c-9,c-5,c-2,704,AA,DFW,MCO,984,N
22455,c-9,c-15,c-4,731,US,PIT,PHL,267,N
22456,c-7,c-10,c-7,755,MQ,DFW,SDF,733,N
22457,c-4,c-7,c-5,1741,CO,PBI,EWR,1024,Y
22458,c-3,c-25,c-6,631,CO,MIA,EWR,1086,N
22459,c-7,c-12,c-2,612,AA,MSP,MIA,1501,N
22460,c-6,c-17,c-5,1655,EV,ATL,AGS,143,N
22461,c-1,c-19,c-4,1239,XE,ROC,EWR,246,N
22462,c-4,c-4,c-1,1033,B6,MCO,JFK,944,N
22463,c-1,c-15,c-7,1050,WN,PHL,MCO,861,N
22464,c-12,c-27,c-3,1941,WN,JAX,BWI,663,Y
22465,c-10,c-4,c-3,1029,DL,LGA,DCA,214,N
22466,c-5,c-1,c-7,1217,FL,ATL,CAK,528,N
22467,c-11,c-30,c-3,1432,OO,ORD,CWA,213,N
22468,c-4,c-23,c-6,916,DL,SNA,ATL,1919,Y
22469,c-2,c-7,c-2,1125,UA,SAN,ORD,1723,N
22470,c-8,c-11,c-5,1915,DL,MCO,SJU,1189,N
22471,c-11,c-30,c-3,2221,DL,SLC,SAN,626,Y
22472,c-10,c-31,c-2,1630,OH,ORD,CVG,264,N
22473,c-3,c-15,c-3,722,OO,GTF,DEN,624,N
22474,c-10,c-26,c-3,1743,AA,JFK,SEA,2421,N
22475,c-9,c-11,c-7,1227,DH,IAD,BTV,442,N
22476,c-5,c-2,c-1,1254,XE,IAH,VPS,510,N
22477,c-3,c-16,c-4,816,UA,PBI,ORD,1144,N
22478,c-3,c-17,c-5,654,AS,SEA,ONT,956,N
22479,c-1,c-9,c-7,1247,MQ,DFW,CLE,1021,N
22480,c-10,c-16,c-7,1449,MQ,RIC,ORD,642,N
22481,c-1,c-21,c-5,954,AA,DFW,AUS,190,Y
22482,c-12,c-18,c-7,1928,CO,EWR,TUS,2116,N
22483,c-2,c-15,c-3,1334,DL,RNO,SLC,422,N
22484,c-5,c-1,c-1,2030,EV,ATL,AZO,596,N
22485,c-3,c-9,c-4,720,AA,LGA,PBI,1035,N
22486,c-1,c-11,c-2,1445,MQ,ORD,GSP,577,N
22487,c-5,c-31,c-2,1913,XE,IAH,CHS,925,N
22488,c-8,c-29,c-2,1834,OO,CPR,SLC,320,N
22489,c-9,c-11,c-1,1210,CO,MCO,CLE,895,N
22490,c-12,c-4,c-1,1356,UA,SJC,ORD,1829,N
22491,c-4,c-15,c-5,1305,WN,BWI,PHX,1999,N
22492,c-1,c-27,c-4,1710,WN,PHL,MCO,861,N
22493,c-4,c-4,c-2,2116,AA,ORD,LGA,733,Y
22494,c-9,c-16,c-5,715,WN,DTW,PHX,1671,N
22495,c-11,c-27,c-1,807,US,PIT,PHL,267,Y
22496,c-7,c-4,c-1,1107,CO,MFE,IAH,316,N
22497,c-1,c-11,c-3,1113,UA,LAX,SEA,954,N
22498,c-3,c-15,c-3,2141,MQ,ORD,MSP,334,N
22499,c-10,c-2,c-1,853,OO,RAP,DEN,301,N
22500,c-4,c-9,c-7,626,AQ,KOA,HNL,163,N
22501,c-8,c-8,c-2,1620,CO,EWR,LAS,2227,N
22502,c-3,c-3,c-4,1616,US,CLT,JAX,329,Y
22503,c-11,c-4,c-5,828,DL,CVG,SLC,1449,N
22504,c-4,c-7,c-5,1330,US,PDX,LAS,762,N
22505,c-2,c-4,c-5,1903,CO,IAH,RSW,861,N
22506,c-11,c-17,c-5,1638,YV,CAE,IAD,401,N
22507,c-10,c-10,c-2,1619,WN,BWI,BUF,281,N
22508,c-12,c-5,c-2,2115,DL,SLC,SEA,689,N
22509,c-9,c-4,c-7,1101,MQ,ORD,ROC,528,N
22510,c-10,c-27,c-4,1300,WN,RNO,BOI,335,Y
22511,c-10,c-15,c-7,1250,US,LAX,CLT,2125,N
22512,c-8,c-4,c-5,1523,AA,DFW,DEN,641,N
22513,c-11,c-20,c-1,1937,AA,STL,SEA,1710,N
22514,c-9,c-28,c-3,1451,MQ,RST,ORD,268,N
22515,c-3,c-28,c-2,2210,UA,PHL,SFO,2521,Y
22516,c-1,c-27,c-4,1926,DL,ATL,SLC,1589,N
22517,c-1,c-29,c-7,1636,XE,CLE,CLT,430,N
22518,c-7,c-20,c-4,2248,WN,SJC,BUR,296,Y
22519,c-5,c-24,c-2,1217,OO,DEN,FAR,627,N
22520,c-6,c-30,c-5,849,MQ,BGR,BOS,201,Y
22521,c-4,c-12,c-2,804,UA,PIT,ORD,412,N
22522,c-6,c-6,c-2,1654,UA,SFO,DEN,967,N
22523,c-1,c-29,c-6,2146,AA,DFW,BWI,1217,Y
22524,c-5,c-23,c-2,2047,AA,SFO,MIA,2585,N
22525,c-12,c-8,c-4,1330,AS,SEA,EWR,2401,N
22526,c-10,c-9,c-1,1908,CO,ATL,EWR,745,N
22527,c-12,c-18,c-7,2045,XE,CLE,MSN,402,N
22528,c-11,c-8,c-3,1335,OH,CVG,OKC,756,N
22529,c-2,c-15,c-3,1643,MQ,DFW,BTR,383,N
22530,c-7,c-23,c-7,1916,NW,IAD,MSP,908,N
22531,c-5,c-27,c-6,1409,OO,LAX,YUM,237,N
22532,c-7,c-11,c-1,1039,DL,ORD,ATL,606,N
22533,c-11,c-17,c-4,1447,AA,DFW,SEA,1660,N
22534,c-9,c-22,c-4,820,WN,PIT,MCO,834,N
22535,c-5,c-16,c-1,731,DL,ATL,LGA,761,N
22536,c-4,c-13,c-4,711,MQ,ORD,IAD,589,N
22537,c-3,c-22,c-3,1307,XE,IAH,RIC,1157,N
22538,c-5,c-11,c-3,1934,OO,SLC,TWF,175,N
22539,c-1,c-28,c-6,1150,WN,PVD,BWI,328,N
22540,c-6,c-11,c-7,1211,YV,DEN,COD,392,N
22541,c-4,c-30,c-6,1156,AA,STL,LAX,1593,N
22542,c-9,c-18,c-7,1111,DL,LGA,PBI,1035,N
22543,c-2,c-20,c-7,1731,XE,RIC,IAH,1157,N
22544,c-4,c-1,c-5,1605,OO,SFO,CIC,153,N
22545,c-5,c-4,c-4,1421,AA,MIA,LGA,1097,N
22546,c-3,c-30,c-3,1858,DH,EWR,IAD,213,N
22547,c-8,c-1,c-1,1056,AA,DFW,ORD,802,N
22548,c-5,c-5,c-4,1819,NW,MEM,DCA,762,N
22549,c-5,c-22,c-7,847,OO,DEN,MTJ,197,N
22550,c-11,c-4,c-5,1658,XE,MSP,EWR,1008,Y
22551,c-8,c-16,c-2,1400,B6,PBI,JFK,1028,N
22552,c-2,c-21,c-2,1833,OO,MBS,ORD,222,N
22553,c-12,c-14,c-4,1750,YV,IAD,MDT,94,Y
22554,c-6,c-17,c-5,919,UA,MHT,ORD,843,N
22555,c-7,c-5,c-2,710,OO,LAX,MRY,267,N
22556,c-2,c-9,c-3,1225,WN,TPA,FLL,197,N
22557,c-6,c-25,c-7,759,AS,ANC,PDX,1542,N
22558,c-2,c-12,c-6,625,DL,RSW,ATL,515,N
22559,c-12,c-7,c-4,1829,WN,LAS,ONT,197,N
22560,c-7,c-2,c-7,854,XE,IAH,STL,668,N
22561,c-10,c-1,c-6,1935,EV,LIT,CVG,513,N
22562,c-8,c-12,c-6,1843,FL,PHL,ATL,665,Y
22563,c-11,c-17,c-4,800,EV,HPN,ATL,780,N
22564,c-1,c-25,c-3,2219,NW,MSP,FSD,197,N
22565,c-11,c-29,c-2,1500,OH,CVG,ERI,316,N
22566,c-6,c-17,c-6,620,AS,SEA,SNA,978,N
22567,c-11,c-30,c-4,1703,MQ,BDL,RDU,532,N
22568,c-5,c-15,c-1,1359,EV,LAS,SLC,368,N
22569,c-8,c-21,c-7,931,NW,MSP,SAN,1532,Y
22570,c-8,c-23,c-3,638,AA,SNA,DFW,1205,N
22571,c-1,c-28,c-6,808,DL,BOS,MCO,1121,N
22572,c-3,c-6,c-7,535,FL,HOU,ATL,696,N
22573,c-5,c-25,c-4,650,XE,MEM,IAH,469,N
22574,c-1,c-10,c-1,1252,OO,SMF,LAX,373,Y
22575,c-2,c-14,c-1,1637,MQ,GSP,DFW,862,N
22576,c-11,c-12,c-7,2141,B6,LGB,JFK,2465,N
22577,c-2,c-14,c-1,1502,CO,IAH,LGA,1416,Y
22578,c-2,c-24,c-5,2317,US,CLT,BUF,546,Y
22579,c-2,c-9,c-3,803,AA,SFO,BOS,2704,N
22580,c-4,c-25,c-2,1632,XE,OMA,EWR,1133,Y
22581,c-5,c-26,c-4,724,DL,IAH,ATL,689,N
22582,c-3,c-6,c-7,1230,NW,SAN,DTW,1957,N
22583,c-7,c-1,c-5,1059,OO,SLC,GJT,217,N
22584,c-4,c-14,c-5,2016,NW,MSP,PHL,980,Y
22585,c-7,c-11,c-1,1235,OH,MCO,ORF,655,N
22586,c-9,c-7,c-3,1655,DL,ORD,SLC,1249,N
22587,c-2,c-16,c-3,2010,DL,ATL,JFK,760,N
22588,c-5,c-9,c-2,1200,OO,DSM,DEN,589,N
22589,c-3,c-23,c-4,1115,AA,EWR,ORD,719,N
22590,c-5,c-26,c-5,717,MQ,DFW,BTR,383,N
22591,c-4,c-14,c-5,640,WN,SAN,LAS,258,N
22592,c-2,c-11,c-5,858,US,ORF,CLT,290,N
22593,c-10,c-24,c-1,939,XE,IAH,IND,845,Y
22594,c-3,c-14,c-1,1709,US,MSY,PHL,1088,Y
22595,c-11,c-4,c-5,2154,B6,FLL,JFK,1069,Y
22596,c-5,c-17,c-2,2312,AA,LAX,ORD,1745,N
22597,c-2,c-28,c-2,750,AA,TPA,LGA,1011,N
22598,c-5,c-21,c-7,1930,CO,DAB,EWR,884,Y
22599,c-12,c-12,c-1,2342,DL,PHX,ATL,1587,N
22600,c-5,c-6,c-6,945,MQ,BTR,DFW,383,Y
22601,c-12,c-1,c-4,1325,WN,LAS,OAK,407,N
22602,c-3,c-13,c-1,1811,AA,DFW,IAD,1172,Y
22603,c-1,c-27,c-5,943,CO,IAH,SLC,1195,N
22604,c-9,c-3,c-6,1146,CO,IAH,SAT,191,N
22605,c-6,c-1,c-3,1919,MQ,MIA,CLE,1080,Y
22606,c-12,c-16,c-6,600,MQ,MEM,ORD,491,N
22607,c-11,c-30,c-3,1800,OO,MFR,SFO,329,Y
22608,c-3,c-3,c-5,1605,XE,IAH,MSP,1034,N
22609,c-9,c-10,c-6,1035,DH,ROC,IAD,289,N
22610,c-12,c-11,c-7,2230,OO,SFO,RDD,199,N
22611,c-4,c-5,c-2,1851,MQ,LGA,DCA,214,N
22612,c-5,c-16,c-1,930,AA,MSP,DFW,852,N
22613,c-12,c-9,c-5,1126,MQ,RDU,BOS,612,N
22614,c-10,c-3,c-2,803,YV,ATL,DEN,1199,N
22615,c-7,c-30,c-7,925,XE,IAH,RSW,861,N
22616,c-5,c-17,c-3,1245,WN,PIT,MCO,834,N
22617,c-1,c-6,c-4,1550,OO,LAX,ONT,47,N
22618,c-10,c-20,c-4,1123,US,PIT,BDL,406,N
22619,c-9,c-3,c-6,700,DL,CVG,BDL,661,N
22620,c-12,c-24,c-7,1800,WN,BUR,LAS,223,N
22621,c-12,c-9,c-6,716,OO,SFO,MFR,329,N
22622,c-9,c-11,c-7,1656,MQ,BNA,DCA,562,N
22623,c-11,c-9,c-4,1819,DL,ATL,PHL,665,N
22624,c-3,c-28,c-2,2251,OO,LAX,MRY,267,Y
22625,c-4,c-14,c-5,856,AA,SJC,AUS,1476,N
22626,c-7,c-3,c-1,1505,WN,CLE,LAS,1825,N
22627,c-10,c-14,c-6,15,US,LAS,PIT,1910,Y
22628,c-2,c-27,c-1,1515,WN,BOI,GEG,287,N
22629,c-11,c-19,c-7,1645,DL,CVG,SAN,1865,N
22630,c-1,c-12,c-3,557,UA,SEA,SFO,679,N
22631,c-10,c-25,c-3,1723,WN,SLC,PHX,507,N
22632,c-6,c-8,c-3,2108,OO,CLE,ORD,316,Y
22633,c-12,c-11,c-1,1648,YV,SAN,PHX,304,N
22634,c-10,c-20,c-4,1834,NW,DTW,SDF,306,Y
22635,c-10,c-13,c-5,1759,WN,SAN,PHX,304,N
22636,c-8,c-8,c-1,829,DH,IAD,GSP,383,N
22637,c-2,c-13,c-1,1759,EV,ATL,HOU,696,N
22638,c-2,c-8,c-2,1603,NW,BDL,DTW,548,N
22639,c-10,c-18,c-3,1918,YV,PHX,FAT,493,N
22640,c-9,c-22,c-4,1953,OO,LNK,DEN,423,Y
22641,c-1,c-1,c-7,735,OH,PHF,CVG,465,N
22642,c-5,c-11,c-4,1258,AA,DFW,ATL,732,Y
22643,c-12,c-18,c-7,2050,MQ,ORD,TOL,214,N
22644,c-1,c-21,c-6,803,DL,FLL,BOS,1237,N
22645,c-3,c-2,c-3,1838,AA,SNA,SJC,342,N
22646,c-10,c-29,c-6,1453,OO,BZN,SLC,347,N
22647,c-5,c-11,c-4,1246,MQ,DFW,ABI,158,Y
22648,c-12,c-2,c-5,740,WN,BNA,PHX,1448,Y
22649,c-3,c-17,c-4,539,US,BDL,PHL,196,N
22650,c-10,c-13,c-5,928,WN,SNA,PHX,338,N
22651,c-6,c-3,c-6,746,OH,HSV,DCA,613,N
22652,c-7,c-29,c-5,1537,NW,MSP,BOS,1124,Y
22653,c-1,c-4,c-3,2123,US,ORD,LAS,1515,Y
22654,c-6,c-17,c-5,856,XE,IAH,CRP,201,Y
22655,c-12,c-21,c-3,1340,MQ,DFW,JAN,408,Y
22656,c-7,c-22,c-6,1223,UA,IAD,LAX,2288,N
22657,c-7,c-26,c-2,1925,XE,CLE,MHT,544,Y
22658,c-11,c-4,c-6,851,DL,ABQ,ATL,1269,N
22659,c-8,c-29,c-1,1422,DL,BHM,ATL,134,N
22660,c-10,c-4,c-3,1254,MQ,ORD,CMI,135,N
22661,c-7,c-23,c-6,733,XE,IAH,PNS,489,N
22662,c-11,c-5,c-6,645,WN,OAK,MDW,1844,N
22663,c-4,c-22,c-6,1907,OO,CID,ORD,196,N
22664,c-4,c-9,c-7,1250,XE,IAH,ABQ,744,N
22665,c-1,c-9,c-7,1523,WN,DTW,MDW,229,N
22666,c-10,c-18,c-2,2124,XE,IAH,LFT,201,N
22667,c-8,c-6,c-7,1637,EV,ATL,MGM,147,N
22668,c-2,c-25,c-5,757,CO,EWR,SEA,2401,N
22669,c-4,c-26,c-2,1347,MQ,CLT,MIA,650,N
22670,c-1,c-15,c-7,1322,AS,SEA,DCA,2329,N
22671,c-10,c-25,c-3,705,AA,SAT,DFW,247,N
22672,c-10,c-2,c-7,1106,WN,BWI,LAS,2106,Y
22673,c-11,c-3,c-5,2004,UA,ORD,DCA,612,Y
22674,c-12,c-22,c-5,1000,EV,ATL,SHV,552,N
22675,c-4,c-22,c-6,616,FL,RIC,ATL,481,N
22676,c-9,c-9,c-6,537,FL,FLL,ATL,581,N
22677,c-3,c-23,c-3,1632,UA,SFO,HNL,2398,N
22678,c-8,c-22,c-2,741,WN,BNA,LAS,1588,N
22679,c-9,c-19,c-2,650,WN,OKC,MCI,313,N
22680,c-5,c-13,c-6,1050,MQ,HSV,DFW,603,N
22681,c-3,c-4,c-6,612,MQ,DBQ,ORD,147,N
22682,c-9,c-5,c-2,2209,OO,LAX,IYK,123,N
22683,c-5,c-8,c-7,915,EV,AGS,ATL,143,N
22684,c-5,c-5,c-4,1109,DL,LAS,ATL,1747,N
22685,c-11,c-27,c-7,1009,OO,GJT,DEN,212,N
22686,c-2,c-27,c-1,600,UA,BWI,ORD,622,N
22687,c-6,c-16,c-4,1242,DH,IAD,PVD,372,N
22688,c-1,c-15,c-7,1727,MQ,JAN,DFW,408,N
22689,c-6,c-2,c-4,1540,UA,ABQ,DEN,349,Y
22690,c-2,c-2,c-4,1220,XE,CLE,PHL,363,N
22691,c-10,c-27,c-4,1735,DH,RDU,IAD,224,N
22692,c-7,c-18,c-1,600,OO,CPR,SLC,320,N
22693,c-2,c-4,c-5,1302,AA,LGA,BNA,764,N
22694,c-1,c-27,c-5,1247,OO,LAX,SMX,135,N
22695,c-4,c-19,c-3,905,EV,ATL,RIC,481,N
22696,c-5,c-19,c-5,1225,DL,ATL,IAD,533,Y
22697,c-5,c-25,c-3,1522,WN,BWI,MDW,611,Y
22698,c-7,c-13,c-4,2023,DL,ATL,BNA,214,Y
22699,c-4,c-6,c-4,1104,AS,WRG,PSG,31,N
22700,c-1,c-15,c-7,1635,MQ,ORD,DTW,235,Y
22701,c-11,c-18,c-5,1557,CO,IAH,PHL,1324,N
22702,c-2,c-24,c-5,101,AA,LAX,DFW,1235,N
22703,c-9,c-20,c-2,1519,OO,ABQ,SFO,896,N
22704,c-7,c-8,c-6,1321,XE,BDL,EWR,116,N
22705,c-4,c-27,c-3,2242,DL,LAS,ATL,1747,N
22706,c-3,c-5,c-6,1350,US,DCA,MSY,969,N
22707,c-12,c-26,c-1,1138,NW,MSP,ABQ,981,N
22708,c-12,c-8,c-5,1849,DL,ATL,CVG,373,N
22709,c-10,c-8,c-6,1741,DL,SAT,SLC,1086,N
22710,c-7,c-21,c-4,1302,DL,LGA,ATL,761,N
22711,c-9,c-27,c-2,1714,NW,STL,DTW,440,N
22712,c-9,c-17,c-6,829,OO,SLC,PHX,507,N
22713,c-12,c-28,c-4,821,UA,IAD,LAS,2066,N
22714,c-1,c-30,c-1,1601,UA,ORD,BOS,867,N
22715,c-2,c-9,c-3,1740,WN,BWI,MCI,967,N
22716,c-9,c-19,c-1,1328,OO,AUS,DEN,775,Y
22717,c-10,c-29,c-6,1015,WN,MDW,SMF,1790,N
22718,c-10,c-24,c-1,1220,NW,IND,DTW,231,N
22719,c-6,c-27,c-1,1305,WN,ONT,PHX,325,Y
22720,c-8,c-1,c-2,1423,WN,FLL,ISP,1093,N
22721,c-6,c-8,c-4,945,OH,ATL,TYS,152,N
22722,c-9,c-21,c-3,1817,AS,ANC,OTZ,549,N
22723,c-12,c-31,c-6,1035,UA,MCO,IAD,758,N
22724,c-4,c-3,c-7,1340,WN,LAX,LAS,236,N
22725,c-5,c-6,c-6,2026,B6,FLL,JFK,1069,N
22726,c-6,c-8,c-4,2105,EV,ATL,AZO,596,Y
22727,c-1,c-4,c-3,646,YV,SAT,DEN,794,N
22728,c-4,c-30,c-7,1443,EV,ATL,PIA,564,N
22729,c-11,c-30,c-4,720,DL,JFK,SLC,1989,N
22730,c-6,c-6,c-1,1155,NW,DTW,MBS,98,N
22731,c-6,c-30,c-4,1853,DL,ATL,TYS,152,N
22732,c-10,c-15,c-6,1744,CO,CLE,PHX,1737,N
22733,c-6,c-5,c-1,2147,DL,ATL,DEN,1199,N
22734,c-9,c-12,c-1,1650,WN,MCI,OKC,313,N
22735,c-2,c-25,c-6,1518,NW,DTW,TPA,983,N
22736,c-1,c-22,c-6,1106,DH,IAD,TYS,419,N
22737,c-10,c-29,c-7,1150,OH,DCA,BOS,399,Y
22738,c-4,c-2,c-6,1535,WN,MDW,BHM,570,N
22739,c-10,c-7,c-6,1734,AA,SJU,EWR,1608,N
22740,c-12,c-28,c-4,1644,XE,DAL,IAH,217,Y
22741,c-4,c-24,c-7,1733,UA,LAX,SFO,337,N
22742,c-12,c-7,c-3,1907,OO,SFO,SMF,86,N
22743,c-2,c-14,c-1,1315,WN,DAL,SAT,248,N
22744,c-7,c-30,c-7,1205,YV,FSD,DEN,483,N
22745,c-3,c-21,c-1,1955,OO,LAX,ONT,47,N
22746,c-7,c-1,c-5,1211,AA,DFW,ELP,551,Y
22747,c-12,c-5,c-1,1351,UA,SFO,ORD,1846,N
22748,c-12,c-24,c-6,1140,WN,JAX,FLL,318,N
22749,c-11,c-14,c-1,1743,WN,OAK,SAN,446,Y
22750,c-1,c-16,c-1,1424,CO,IAH,AUS,140,N
22751,c-12,c-16,c-5,2348,FL,ATL,MEM,332,Y
22752,c-7,c-15,c-6,1844,B6,BUR,LAS,223,N
22753,c-7,c-11,c-2,1742,XE,IAH,CLT,913,N
22754,c-9,c-20,c-2,2051,UA,ORD,EWR,719,N
22755,c-8,c-16,c-3,1138,DL,CMH,ATL,446,N
22756,c-8,c-28,c-1,930,MQ,GRK,DFW,134,Y
22757,c-10,c-9,c-7,1823,UA,SFO,DFW,1464,N
22758,c-9,c-23,c-6,2053,XE,IAH,LCH,127,N
22759,c-1,c-4,c-2,637,AS,ONT,SEA,956,N
22760,c-8,c-15,c-1,749,MQ,LBB,DFW,282,N
22761,c-3,c-21,c-2,1651,XE,CLE,DAY,162,N
22762,c-7,c-8,c-5,1449,AA,MCI,ORD,403,N
22763,c-9,c-26,c-2,2254,UA,LAX,EWR,2454,N
22764,c-4,c-13,c-3,842,OH,LGA,CLT,544,N
22765,c-2,c-22,c-3,1809,XE,EWR,MKE,725,N
22766,c-10,c-6,c-4,1537,MQ,CLL,DFW,164,N
22767,c-11,c-4,c-5,815,OH,XNA,CVG,561,N
22768,c-8,c-7,c-1,823,B6,ROC,JFK,264,N
22769,c-12,c-10,c-7,943,XE,IAH,PSP,1269,N
22770,c-4,c-13,c-3,1120,AS,SNA,OAK,371,Y
22771,c-9,c-21,c-3,1053,DL,FLL,BOS,1237,N
22772,c-12,c-25,c-7,703,CO,EWR,MIA,1086,N
22773,c-2,c-3,c-4,800,WN,MSY,LAS,1501,N
22774,c-4,c-15,c-5,1852,UA,LAS,LAX,236,N
22775,c-12,c-27,c-3,1107,AA,DFW,MSP,852,N
22776,c-9,c-3,c-6,751,UA,SLC,ORD,1249,N
22777,c-10,c-26,c-3,643,US,BOS,DCA,399,N
22778,c-9,c-28,c-4,1314,XE,IAH,TUL,429,N
22779,c-10,c-8,c-7,1017,FL,FLL,PHL,992,N
22780,c-11,c-7,c-1,628,OO,SLC,DEN,391,N
22781,c-12,c-3,c-6,1450,WN,PHX,SAN,304,N
22782,c-7,c-31,c-1,1243,AS,SJC,PDX,569,N
22783,c-2,c-19,c-7,1432,CO,SNA,IAH,1347,N
22784,c-3,c-28,c-2,1453,DL,BOS,ATL,946,N
22785,c-10,c-13,c-5,752,WN,LAS,BUR,223,N
22786,c-12,c-19,c-1,1403,MQ,CLT,MIA,650,N
22787,c-7,c-29,c-6,1045,UA,LAX,KOA,2504,N
22788,c-10,c-15,c-7,939,XE,IAH,COS,809,N
22789,c-5,c-16,c-1,2131,DL,ATL,DCA,547,N
22790,c-5,c-7,c-6,1341,AA,SAT,DFW,247,N
22791,c-9,c-24,c-7,2159,OO,LAX,SJC,308,N
22792,c-12,c-9,c-6,811,CO,MCO,IAH,853,N
22793,c-5,c-27,c-6,1500,EV,ATL,PHF,508,N
22794,c-1,c-16,c-7,1100,OO,LAX,OAK,337,N
22795,c-2,c-22,c-2,2139,B6,JFK,MCO,944,Y
22796,c-12,c-29,c-4,1925,EV,ATL,MDT,619,N
22797,c-7,c-14,c-4,1637,HP,PHX,SNA,338,N
22798,c-12,c-11,c-7,1753,UA,BDL,ORD,783,Y
22799,c-5,c-19,c-4,1537,MQ,RDU,BOS,612,Y
22800,c-7,c-5,c-2,1047,XE,RIC,EWR,278,N
22801,c-10,c-25,c-3,2036,WN,SMF,SEA,605,Y
22802,c-3,c-9,c-3,922,AA,LAX,MIA,2342,N
22803,c-12,c-8,c-4,1339,F9,ABQ,DEN,349,N
22804,c-2,c-19,c-6,1235,XE,AUS,IAH,140,N
22805,c-12,c-28,c-4,2028,UA,SFO,SAN,447,N
22806,c-9,c-15,c-5,1254,US,LGA,DCA,214,N
22807,c-3,c-16,c-3,858,AA,XNA,DFW,281,N
22808,c-11,c-22,c-3,1007,NW,DTW,CLT,500,N
22809,c-5,c-30,c-2,750,UA,SFO,SEA,679,N
22810,c-5,c-21,c-7,1449,DL,CVG,BWI,430,N
22811,c-5,c-9,c-1,625,AA,BOS,MCO,1121,N
22812,c-11,c-11,c-6,1250,DL,GEG,SLC,546,N
22813,c-10,c-8,c-7,1130,UA,SNA,DEN,846,N
22814,c-2,c-9,c-4,830,WN,SEA,OAK,671,N
22815,c-5,c-30,c-2,2126,MQ,ORD,CMI,135,Y
22816,c-1,c-28,c-6,935,OO,SMX,LAX,135,N
22817,c-5,c-2,c-1,2023,OO,TVC,ORD,224,N
22818,c-7,c-3,c-7,1757,US,DCA,LGA,214,N
22819,c-7,c-23,c-6,1820,WN,MHT,TPA,1204,N
22820,c-5,c-31,c-3,1059,OH,ATW,CVG,411,N
22821,c-9,c-27,c-2,850,WN,TPA,HOU,781,N
22822,c-11,c-22,c-2,1658,AA,DFW,MCI,460,N
22823,c-6,c-30,c-4,815,WN,CMH,BNA,338,N
22824,c-7,c-12,c-3,543,XE,IND,CLE,261,N
22825,c-1,c-31,c-1,1850,AA,LAS,DFW,1055,Y
